substrate,enzyme,temperature,time,ph,conversion
Glucose,Glucose Oxidase,33.4968430616629,68.54487482272674,4.9093669554482755,1.0
PET,PETase (FAST-PETase),33.642007507063575,21.567939258275175,5.864681081319601,0.3476277482360594
Cellulose,Cellulase (TrCel7A),37.106612884250055,15.411768509774458,6.405727338464573,0.6150349130376588
p-Nitrophenyl-β-D-cellobioside,Cellulase,40.38653484746772,14.083033666557519,6.145850799332455,1.0
Maltotriose,α-Amylase,34.26799687014229,43.392338722487345,6.181751344187997,1.0
Lactose,β-Galactosidase,42.81572735771627,3.5548289864847025,6.0616807105589245,1.0
Lignin,Laccase (TrLcc1),27.700915588965785,41.69284302020143,5.419752968688082,1.0
Lignin,Laccase (TrLcc1),30.082206686007098,46.53459990471006,5.470885311832044,1.0
Lignin,Laccase (TrLcc1),42.23995179312236,45.46819492424822,6.885313224504863,1.0
Avicel,Cellulase (CtCel5A),33.13355999941189,30.719171339623855,5.5640119903984795,1.0
Maltotriose,α-Amylase,38.42174404674885,26.003504871253572,5.1711460885502305,1.0
Lactose,β-Galactosidase,27.42901478424246,37.91806214272964,5.582901691434082,1.0
Lignin,Laccase (TrLcc1),43.93354852399641,3.552382020720664,5.980667002867032,1.0
Starch,α-Amylase (Bacillus),41.53053443192792,59.92799431600353,5.875922725296223,1.0
Casein,Protease (Subtilisin),31.804711430210936,67.0573643626884,5.852937418177994,1.0
PET,PETase (FAST-PETase),38.04387083550419,52.749845509143846,5.371019447096208,0.19177976031222754
PET,PETase (FAST-PETase),35.006340963475715,16.78060349690037,6.053578651242672,0.16054261951417234
Polyurethane,PUase (PsEstA),33.9356418908855,11.452134106609977,6.063381229233981,0.11753671982822578
Lignin,Laccase (TrLcc1),31.94686814409314,28.92705935441073,6.068511449762738,1.0
Avicel,Cellulase (CtCel5A),34.18107658704297,57.43488758120916,5.959302745616411,1.0
Polyurethane,PUase (PsEstA),27.976911796985874,45.49678362565975,6.160570744787933,0.023577376994450165
Maltotriose,α-Amylase,27.483158360187904,48.74378191367493,5.161055261347329,1.0
PET,PETase (FAST-PETase),34.32414958352235,61.500579394337464,5.164656890820583,0.18228812187715135
Lactose,β-Galactosidase,35.284306053798524,10.049854349699878,5.550409959964417,1.0
Lignin,Laccase (TrLcc1),41.047735654603215,69.53294250203395,5.540438737136388,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,32.17640288938704,29.523072506089562,5.811194594645009,1.0
Cellulose,Cellulase (TrCel7A),33.63995990336586,12.808885066968884,6.413332033296999,0.5856015329486226
Glucose,Glucose Oxidase,30.31564995615039,22.869340433917117,6.296362140015422,1.0
Polyurethane,PUase (PsEstA),39.12422501510455,49.359425849902244,6.713133967689084,0.12350628814138898
Maltotriose,α-Amylase,36.25496127869146,15.975167364064607,6.024535179246335,1.0
Avicel,Cellulase (CtCel5A),39.41397954668798,30.65256763849502,6.187227275150591,1.0
Cellulose,Cellulase (TrCel7A),28.43272082674584,22.179302088284427,5.476447557006698,0.4051339370256866
PET,PETase (FAST-PETase),43.54309261069718,22.69545086567067,5.710170717835589,0.139328178602105
PET,PETase (FAST-PETase),43.112706151274615,11.165342642402257,5.854604750418436,0.10689573059264924
Xylan,Xylanase (TlXyn10A),31.758332894534675,38.07442966941221,5.192796138982169,1.0
Lactose,β-Galactosidase,30.7681582907357,6.5143707414477285,6.6851853037443245,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,42.676722175635334,71.07550670525809,5.531929581035462,1.0
Xylan,Xylanase (TlXyn10A),40.475685828820986,18.771897144613444,5.597180306920075,1.0
Glucose,Glucose Oxidase,26.146844486711416,23.54126435252166,4.862431778129745,1.0
PET,PETase (FAST-PETase),32.35222077703731,47.813436027622664,6.5144994295900105,0.1225378409612625
Starch,α-Amylase (Bacillus),39.4993121845092,39.66986896998895,6.35932161430111,1.0
Polyurethane,PUase (PsEstA),32.47793485074255,52.895719159949564,5.361188578321765,0.1484465485486469
Glucose,Glucose Oxidase,33.227668527670666,49.85443248250395,6.423503036095321,1.0
Casein,Protease (Subtilisin),33.8467813657847,16.323334161626935,6.862568686385075,1.0
Starch,α-Amylase (Bacillus),45.52572983293233,66.43539038678475,6.602133615678845,1.0
Starch,α-Amylase (Bacillus),32.31537063471041,27.537479656278276,6.171524808142813,1.0
Cellulose,Cellulase (TrCel7A),40.59260473919915,42.20555165226382,6.1068968382078275,0.6246312054652006
p-Nitrophenyl-β-D-cellobioside,Cellulase,38.798961298107606,27.14348854996341,5.5181418404173685,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,37.664560497300585,27.18595969049818,5.836332007754972,1.0
Lactose,β-Galactosidase,44.34269099432599,71.01912184618284,4.89106022938954,1.0
Polyurethane,PUase (PsEstA),40.809631566750866,12.41721241863506,6.546076342087056,0.04161680825549716
Polyurethane,PUase (PsEstA),26.563026946014485,38.02123039696226,5.676997218353946,0.039534615276153574
Avicel,Cellulase (CtCel5A),33.97198692063606,37.28084417217234,5.916385838459666,1.0
Casein,Protease (Subtilisin),36.27758195884656,43.03968122232779,6.132761924393691,1.0
Starch,α-Amylase (Bacillus),34.63181541798813,13.909099437653223,5.49539233270961,1.0
Polyurethane,PUase (PsEstA),41.01073381089884,47.27375709327066,6.340468452448013,0.08191668497915434
Avicel,Cellulase (CtCel5A),36.07673185287486,58.50141831206195,6.331278625017188,1.0
Cellulose,Cellulase (TrCel7A),43.84401660299585,50.47412995481762,6.458868556163411,0.6267633399278936
Maltotriose,α-Amylase,38.19829337496051,67.49445211967786,5.807495620050745,1.0
Starch,α-Amylase (Bacillus),38.92406960770668,64.75043992590503,7.329938187451814,1.0
Xylan,Xylanase (TlXyn10A),40.39810905896458,54.069550867617494,5.588944794209828,1.0
Glucose,Glucose Oxidase,39.11463147331984,11.524986118355024,6.232623941266276,1.0
Starch,α-Amylase (Bacillus),31.389915379472136,42.067706153014406,6.678185172632738,1.0
Avicel,Cellulase (CtCel5A),31.93690769552223,18.073203753670782,5.674773443781616,1.0
Starch,α-Amylase (Bacillus),32.99154809789382,70.71851685934438,5.465369540982381,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,35.854456381601835,57.92726603138138,5.864584189287491,1.0
Cellulose,Cellulase (TrCel7A),38.201807019614854,34.393720613966565,5.905017602669777,0.7119019927769312
Xylan,Xylanase (TlXyn10A),34.24038800437458,49.172557186809854,7.112080509608905,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,32.972125480365406,51.67677088135965,6.109097003632002,1.0
Avicel,Cellulase (CtCel5A),33.792860272871586,18.448088914675843,4.9131393816918365,0.9859863483045018
Lactose,β-Galactosidase,33.15016290809998,48.49471581373982,6.9576910402230485,1.0
Glucose,Glucose Oxidase,39.2188146561627,42.665661532206045,6.2498404048104055,1.0
Avicel,Cellulase (CtCel5A),31.61663184679017,46.614522005370446,6.335490731117964,1.0
Polyurethane,PUase (PsEstA),40.89828038159638,44.31137156800991,5.912034873121766,0.07735642404686172
Maltotriose,α-Amylase,39.53468180502379,19.850154715115835,6.061892671819647,1.0
Glucose,Glucose Oxidase,45.118987214772666,54.16214760283277,6.079178839260515,1.0
Lactose,β-Galactosidase,38.13183211242614,39.34473008457114,5.731596591601335,1.0
Avicel,Cellulase (CtCel5A),32.22318663655896,67.28924089976665,5.1719224322107795,1.0
Lignin,Laccase (TrLcc1),37.90534223972736,4.530174855803258,5.286994066922373,1.0
Glucose,Glucose Oxidase,44.81717240643804,14.41667373047181,6.034282712536074,1.0
Polyurethane,PUase (PsEstA),36.90669808864994,55.527552979747284,6.242823370656033,0.019344366444595903
Maltotriose,α-Amylase,36.98317572021678,10.137643579227648,6.015286690150021,1.0
PET,PETase (FAST-PETase),39.40950473078881,31.03441816144965,6.138257602646259,0.2037834712396277
Cellulose,Cellulase (TrCel7A),29.07476596183726,67.99291209923072,5.352506720554749,0.5201635355703843
Starch,α-Amylase (Bacillus),32.256819374853386,41.085882364688274,5.698431699749488,1.0
Xylan,Xylanase (TlXyn10A),30.386642758945413,22.593256377347213,5.823910185692391,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,41.170622990213154,50.269805714976826,6.602923283893601,1.0
Xylan,Xylanase (TlXyn10A),30.532108687762275,8.145076848623678,6.041683304042617,1.0
Xylan,Xylanase (TlXyn10A),32.027939467257,68.4102889613758,6.625386137024233,1.0
Lignin,Laccase (TrLcc1),30.285450070764572,56.334512977782445,5.386560124176397,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,38.856975521632606,68.39762025352988,6.075157118716722,1.0
Cellulose,Cellulase (TrCel7A),30.705217180087832,39.74384812284543,5.6541969360334585,0.5013593831091552
Maltotriose,α-Amylase,42.061351037345005,33.5157216640987,6.197753456710998,1.0
Maltotriose,α-Amylase,31.925714234507883,16.88785965880491,6.338680496417801,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,21.593678033414793,56.58140764158342,6.022633324788023,1.0
Cellulose,Cellulase (TrCel7A),31.061881605002934,57.560681687503994,6.020639685433688,0.6212276766890931
p-Nitrophenyl-β-D-cellobioside,Cellulase,28.72720860164756,36.385541496778146,6.500281291165083,1.0
Glucose,Glucose Oxidase,27.097068328789515,31.722044057696664,5.770256779738821,1.0
Starch,α-Amylase (Bacillus),30.261324578433253,49.648762110011155,5.50217779903603,1.0
Avicel,Cellulase (CtCel5A),34.35687545857983,58.03005064904043,5.6124228894133985,1.0
Starch,α-Amylase (Bacillus),38.04494975094956,12.85007446527765,5.589163813814184,1.0
Starch,α-Amylase (Bacillus),29.654467273810827,50.905891453107905,6.1148323194847425,1.0
Lactose,β-Galactosidase,35.8883263998843,3.8912220481952953,5.291479591084428,1.0
PET,PETase (FAST-PETase),36.71216775893097,56.99925868382687,5.4049176303003525,0.21401891152592556
Xylan,Xylanase (TlXyn10A),32.972680243558926,21.424804292265517,6.388027704948533,1.0
Starch,α-Amylase (Bacillus),35.611384804869765,57.59851364171494,6.585386199363163,1.0
PET,PETase (FAST-PETase),29.63217301620634,57.07378283794132,5.63808076560434,0.08651511212179469
Glucose,Glucose Oxidase,32.64057375538853,2.8680804064839576,5.999171645962728,1.0
Lactose,β-Galactosidase,29.154192520391547,61.28732528438604,6.38247868899813,1.0
Glucose,Glucose Oxidase,31.163365513106303,2.1934143372062485,5.713708669856314,1.0
Glucose,Glucose Oxidase,26.712153197931105,1.2682330729367977,5.497848223896297,1.0
Lactose,β-Galactosidase,31.334009400381248,56.767493896800254,5.037759344351862,1.0
Lignin,Laccase (TrLcc1),41.751964341825214,44.37962923822405,6.314135808934202,1.0
PET,PETase (FAST-PETase),26.125658073567685,58.927408706698884,6.433140397475633,0.16275255947768813
Casein,Protease (Subtilisin),40.36899586120039,55.73398263021893,6.077823859860689,1.0
Glucose,Glucose Oxidase,39.817319215725306,54.87008680172557,4.981018073680462,1.0
Glucose,Glucose Oxidase,36.71058964692841,56.003511212817486,5.796854552640956,1.0
Lactose,β-Galactosidase,24.703425639315924,69.65519855433217,6.000325720254664,1.0
Lignin,Laccase (TrLcc1),41.443560879257525,58.39888645088179,6.322156146670301,1.0
Xylan,Xylanase (TlXyn10A),22.573792525849132,43.52677363518484,5.8810537846988895,1.0
Maltotriose,α-Amylase,29.45107476504533,22.121677317051137,5.545599805272031,1.0
Polyurethane,PUase (PsEstA),28.424838591339466,53.610542291451246,5.920422573546852,0.13572229713081063
Xylan,Xylanase (TlXyn10A),32.70843289788906,66.13306948256734,6.921801361676258,1.0
Casein,Protease (Subtilisin),36.92840718967855,57.912758419182346,5.291731984770337,1.0
Xylan,Xylanase (TlXyn10A),39.536499457372244,4.165589499743849,5.045337465304112,1.0
Cellulose,Cellulase (TrCel7A),25.010467359130892,69.81250315286383,5.109788801512545,0.44311831081161457
Xylan,Xylanase (TlXyn10A),29.09179390180669,47.92532022815561,5.690547535732445,1.0
Xylan,Xylanase (TlXyn10A),33.84181333919623,4.203969390247343,5.2776014750640625,1.0
Polyurethane,PUase (PsEstA),44.86795594215366,5.1904067826641125,6.201777879613042,0.01459794251053377
Xylan,Xylanase (TlXyn10A),36.09763690518641,16.82947467877412,6.4617025401560735,1.0
Maltotriose,α-Amylase,39.164727763034065,2.3277614810787126,6.5668506915293765,1.0
Casein,Protease (Subtilisin),39.15983093133921,46.46951778864171,6.804605382037668,1.0
Casein,Protease (Subtilisin),33.96448917430983,34.369565781680244,5.38800412836465,1.0
Glucose,Glucose Oxidase,38.088633073593854,33.89531930488538,6.245841703511811,1.0
Starch,α-Amylase (Bacillus),36.669499107072554,66.65523439693301,5.7460444188668784,1.0
Lactose,β-Galactosidase,40.48013453120994,18.591712392791273,6.080898646635651,1.0
Casein,Protease (Subtilisin),33.48159383009942,27.749963643271204,5.772205839524584,1.0
Lignin,Laccase (TrLcc1),42.902240500378696,6.2250859717628195,7.02502160161808,1.0
Casein,Protease (Subtilisin),35.36372663339007,43.03304268304395,5.305785337541549,1.0
Starch,α-Amylase (Bacillus),39.29452766523135,69.57424860859206,6.013841126722406,1.0
Casein,Protease (Subtilisin),26.298452310857023,11.294037951123938,6.1287476509773,1.0
Lactose,β-Galactosidase,29.34098604007862,39.04911864200013,5.402385944406316,1.0
Lactose,β-Galactosidase,39.77917119414414,53.30109577682999,6.229106054104515,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,30.365591087756155,21.66544786654764,6.276956680390187,1.0
Polyurethane,PUase (PsEstA),42.84907912148405,10.320648899761292,6.603400749984887,0.0496727192104124
Lignin,Laccase (TrLcc1),34.683074427026796,28.863109235641264,5.134281083762652,1.0
Avicel,Cellulase (CtCel5A),28.23791303455161,8.313989769560042,6.130581336527319,0.6185936953716829
Glucose,Glucose Oxidase,32.69144481489135,71.72986820223876,6.079839772544029,1.0
Maltotriose,α-Amylase,36.28034315056375,23.838789944071962,6.473033909384985,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,35.85444568458469,10.400685757089613,5.953569900810439,1.0
Lactose,β-Galactosidase,31.918942661881506,62.45274439716148,7.323210076565742,1.0
Lignin,Laccase (TrLcc1),33.38360373118141,66.01104206104793,6.496340599877313,1.0
Polyurethane,PUase (PsEstA),30.156772143305375,14.91871694667054,6.364329902706298,0.1798848683976798
Lignin,Laccase (TrLcc1),34.83956388126177,40.50580156279106,5.434887255369421,1.0
Starch,α-Amylase (Bacillus),38.91844137286264,51.18711752825841,7.177039209111285,1.0
PET,PETase (FAST-PETase),33.7880359231117,17.93425026558995,6.245497422941652,0.16571878053392908
Cellulose,Cellulase (TrCel7A),25.130258978049703,9.191335177594613,6.332925323812454,0.250747780009397
p-Nitrophenyl-β-D-cellobioside,Cellulase,40.14400417419969,7.6266466129907355,5.502215890014815,1.0
Maltotriose,α-Amylase,28.066872892101195,11.560741130243782,5.665796685891858,1.0
Lignin,Laccase (TrLcc1),24.301656085862497,42.792221959072684,6.134293584093373,1.0
Avicel,Cellulase (CtCel5A),37.875706171320026,16.77944398516898,6.431260562967468,1.0
Polyurethane,PUase (PsEstA),31.22654896840441,34.08429136402292,6.215701496255512,0.031489657327855365
Xylan,Xylanase (TlXyn10A),36.869834759809265,50.58053329519898,6.14744051046751,1.0
PET,PETase (FAST-PETase),33.425621778463956,19.601240837365385,5.851949713246659,0.1668633237688527
Starch,α-Amylase (Bacillus),35.04212302646122,9.486952156001873,6.165987699120941,1.0
Polyurethane,PUase (PsEstA),35.890462454547865,27.422685277131734,6.597087051568224,0.07292727292416715
Cellulose,Cellulase (TrCel7A),33.228345331292296,61.42884952822259,6.621090992887641,0.6866446495331326
p-Nitrophenyl-β-D-cellobioside,Cellulase,35.54517743362076,1.0240886095370798,5.640323360769025,1.0
Maltotriose,α-Amylase,36.707788307782906,7.629282679353115,4.942455904554839,1.0
Lignin,Laccase (TrLcc1),31.948852046388346,65.58262309972194,6.216438228927111,1.0
Lactose,β-Galactosidase,44.75486110862903,23.742908754688465,4.908175182675739,1.0
Polyurethane,PUase (PsEstA),25.916887538808517,15.890787501408479,5.605841228760651,0.02057006142324455
Cellulose,Cellulase (TrCel7A),33.78540082559876,16.561586391870826,6.273558526629193,0.621217133386693
Avicel,Cellulase (CtCel5A),42.249941292078454,58.617083309726176,5.760484013598079,1.0
Lactose,β-Galactosidase,35.498554709167486,38.50498767923857,5.996428863193803,1.0
Lactose,β-Galactosidase,36.44815563519553,36.212964974921874,5.81022250475555,1.0
Maltotriose,α-Amylase,33.67844617362445,20.040076754525856,5.39374883080054,1.0
Casein,Protease (Subtilisin),35.70797545259401,24.421394737991847,5.42991455286296,1.0
Lactose,β-Galactosidase,39.73464718788205,51.963768232456005,5.258431228569393,1.0
Maltotriose,α-Amylase,30.98102323758212,6.2433381884432855,6.672187956971881,1.0
Starch,α-Amylase (Bacillus),29.376577191896487,16.563503070635413,4.876412499470758,1.0
PET,PETase (FAST-PETase),38.93538106851406,5.741140507980872,6.131076852969312,0.032808471469348885
Cellulose,Cellulase (TrCel7A),39.02701016246627,55.43274678840961,6.532082813174799,0.7033190911904523
Polyurethane,PUase (PsEstA),40.16163872437224,46.22923422282944,6.305551299360698,0.17342739004074637
Cellulose,Cellulase (TrCel7A),28.522909328401926,51.40421598184554,6.24526690907191,0.5079284140964115
Avicel,Cellulase (CtCel5A),33.22402456703986,54.402891955929576,6.4733563259539295,1.0
Glucose,Glucose Oxidase,34.816068808651906,39.82851237182035,6.54915061256119,1.0
Maltotriose,α-Amylase,40.14905568396411,7.8485695221684155,5.959014991868709,1.0
Polyurethane,PUase (PsEstA),32.7731841304549,41.59259003573479,4.656663792814623,0.01093924815814544
Xylan,Xylanase (TlXyn10A),35.737956361473124,13.141590772463598,6.874555612742976,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,30.792288057931632,35.90351112609216,6.028790822525572,1.0
Xylan,Xylanase (TlXyn10A),30.461306819824365,55.390211330922696,6.057435235641392,1.0
Cellulose,Cellulase (TrCel7A),40.367877611018876,65.36439643309416,5.849907292373036,0.7425654232468551
Lignin,Laccase (TrLcc1),38.80117712972269,66.6629965932787,6.345304793772406,1.0
Casein,Protease (Subtilisin),34.117815644639265,59.641999123894514,6.144899327911743,1.0
Polyurethane,PUase (PsEstA),43.78991780093041,68.3363968017408,6.373151333190544,0.11436029802265837
Casein,Protease (Subtilisin),38.79117063181268,60.166403953746325,5.7124070096817,1.0
PET,PETase (FAST-PETase),40.23763344797152,69.56615046719338,7.024844467623362,0.2149599005222561
Casein,Protease (Subtilisin),32.06889141256259,55.06676686072864,4.570125574137613,1.0
Glucose,Glucose Oxidase,27.617417700615228,38.60783467911505,5.238820239849099,1.0
Cellulose,Cellulase (TrCel7A),30.377326865237066,68.90425599889512,5.049487790552056,0.5133205549928794
Avicel,Cellulase (CtCel5A),29.829638234683138,69.17383038772707,5.538612246913597,0.9075382250569993
p-Nitrophenyl-β-D-cellobioside,Cellulase,24.70127794886198,51.881836336090494,5.928600542171795,1.0
Lactose,β-Galactosidase,37.39748563575806,32.55875324771014,6.206870387206727,1.0
PET,PETase (FAST-PETase),30.431889522494828,24.91464952157526,6.030614579779219,0.0776774653794156
Starch,α-Amylase (Bacillus),32.7395257543763,69.49036177023369,5.92821776213104,1.0
Cellulose,Cellulase (TrCel7A),39.864490578393344,20.406966698580217,6.07406317568105,0.5657208283538883
Polyurethane,PUase (PsEstA),30.603579352617356,32.72673903167903,5.605075631835217,0.03825379958802809
Casein,Protease (Subtilisin),28.093443144757714,44.14754436745945,5.5485026665585195,1.0
Xylan,Xylanase (TlXyn10A),35.28679396444989,63.396998360750196,5.099240622960334,1.0
Lactose,β-Galactosidase,33.751842552339355,57.700399674190095,5.3589597077904525,1.0
Casein,Protease (Subtilisin),41.214490948967224,58.7529681214881,5.959836537978799,1.0
Casein,Protease (Subtilisin),36.680230116297324,50.496534289486235,5.2401901263371435,1.0
Polyurethane,PUase (PsEstA),35.391459560005586,51.55776381468469,6.367035312607305,0.2002257129844592
Glucose,Glucose Oxidase,35.66933219804342,57.87608846144892,5.979804490901973,1.0
Cellulose,Cellulase (TrCel7A),36.90126873613921,10.96065700355093,5.832031675781844,0.6128096681380423
Lignin,Laccase (TrLcc1),33.69683568820768,1.041192233836005,6.443342291314271,1.0
Lignin,Laccase (TrLcc1),33.999085517231606,67.84652488279384,5.604680414052396,1.0
Lignin,Laccase (TrLcc1),34.58452128399737,36.76435676925909,6.372444232154114,1.0
Starch,α-Amylase (Bacillus),38.07870862401957,48.305947898645364,5.785351297382405,1.0
Glucose,Glucose Oxidase,28.33889304441648,27.733634257462295,6.421635797189726,1.0
p-Nitrophenyl-β-D-cellobioside,Cellulase,25.731094873968903,20.861211887622545,7.402543092712486,1.0
Starch,α-Amylase (Bacillus),37.14642758450572,18.641869928607633,5.2632099705897915,1.0
Lignin,Laccase (TrLcc1),40.31181502649956,38.70622392626408,6.246389465259387,1.0
Glucose,Glucose Oxidase,36.131676304351224,12.50204872805355,5.877540109666678,1.0
Avicel,Cellulase (CtCel5A),37.637356354107624,15.431167809060698,6.380316293217427,1.0
Cellulose,Cellulase (TrCel7A),34.791523913820456,26.673135624244424,7.381630476542418,0.6407165829146936
Casein,Protease (Subtilisin),34.646640027487756,69.75812006791844,5.419099692197496,1.0
PET,PETase (FAST-PETase),37.719473372266876,48.4642539319196,6.627257149076277,0.0935929673768118
p-Nitrophenyl-β-D-cellobioside,Cellulase,32.506546564433236,69.08786967017318,6.52324331507379,1.0
Lactose,β-Galactosidase,31.66036959792113,8.717539024421875,6.065375771275036,1.0
Maltotriose,α-Amylase,35.94604678698414,17.065812411956873,5.368279430330257,1.0
Glucose,Glucose Oxidase,33.74220411349577,51.99500710810796,6.286673176686645,1.0
Starch,α-Amylase (Bacillus),36.254928294190336,56.584569190858524,4.6821990114653875,1.0
Casein,Protease (Subtilisin),32.41391396883286,22.986943450081007,6.439067543803526,1.0
PET,PETase (FAST-PETase),33.96703865285062,70.14553895723239,5.976186377212302,0.19963323499247967
Polyurethane,PUase (PsEstA),26.74829530782545,28.609536072928673,5.201246633349005,0.05035983430708721
Lignin,Laccase (TrLcc1),39.57563223457239,67.18821130292405,6.264719544519439,1.0
Lactose,β-Galactosidase,35.09745053514357,26.620974893604807,5.514817968419696,1.0
Glucose,Glucose Oxidase,37.39498982966025,68.15628197308567,6.20162557443487,1.0
PET,PETase (FAST-PETase),28.554392143010208,71.0476931939355,6.938912663375149,0.23126554060841156
Avicel,Cellulase (CtCel5A),38.45289531114335,69.68967560151704,5.7478979729169115,1.0
Xylan,Xylanase (TlXyn10A),23.033102138137043,35.08087407870791,6.791925088421431,1.0
PET,PETase (FAST-PETase),37.106178640747274,55.42732958313751,5.602022445376947,0.2107403441790549
Glucose,Glucose Oxidase,25.843832549645555,45.880308861542325,6.973877954062056,1.0
PET,PETase (FAST-PETase),31.88479887912555,20.676063174181674,5.227539195802613,0.20311623043889723
Lignin,Laccase (TrLcc1),42.796606744949436,14.827675493522172,5.394498412063764,1.0
Maltotriose,α-Amylase,30.43146731777156,4.543843112717942,6.038049299191967,1.0
Glucose,Glucose Oxidase,35.8041911340708,4.905992487726353,5.592128318651002,1.0
Glucose,Glucose Oxidase,40.33457955830285,52.00401401053201,5.522019801078802,1.0
Lactose,β-Galactosidase,36.89398872313544,52.71138507191645,6.28397438312706,1.0
Lactose,β-Galactosidase,39.438351384684054,22.277496246683047,6.861955066858119,1.0
Avicel,Cellulase (CtCel5A),39.40705594946733,46.14088691319912,5.807230768169447,1.0
Glucose,Glucose Oxidase,34.61173060399936,69.39140104844448,5.669775489598561,1.0
Casein,Protease (Subtilisin),33.389942624876895,5.884276741657302,5.905911863747871,1.0
